informal,formal,formal KBBI
bio,biodata,
birds,burung-burung,
bisaa,bisa,
bisaaa,bisa,
bissmillah,bismillah,
bkan,bukan,
bkin,buat,
bkn,bukan,
bks,bekas,
blang,berkata,
blessings,anugerah,
blg,berkata,
blh,boleh,
bli,beli,
blk,kembali,
blm,belum,
bln,bulan,
blom,belum,
bls,balas,
blum,belum,
blusukan,masuk-masuk,
bm,pasar gelap,
bner,benar,
bnget,sangat,
bngst,bangsat,
bngt,sangat,
bngun,bangun,
bnr,benar,
bntr,sebentar,
bnyak,banyak,
bnyk,banyak,
bocil,bocah kecil,
bodo,bodoh,
bodoamat,masa bodoh,
boemi,bumi,
bokap,bapak,
bokep,film porno,
boker,buang air besar,
boking,memesan,
bolang,bocah petualang,
books,buku,
boong,bohong,
bored,bosan,
bosen,bosan,
bosqu,bosku,
bosque,bos,
bosss,bos,
boutique,butik,
boyfriend,pacar laki-laki,
boys,anak laki-laki,
bp,bapak,
bpk,bapak,
br,baru,
brader,saudara laki-laki,
branding,merek,
brani,berani,
brapa,berapa,
brarti,berarti,
breaktime,waktu istirahat,
breathtaking,mempesona,
brg,barang,
brighter,semakin bercahaya,
brigjen,brigadir jenderal,
brings,membawa,
bro,mas,
brothers,saudara laki-laki,
brp,berapa,
brrti,berarti,
bru,baru,
bruh,kawan,
bs,bisa,
bsa,bisa,
bsk,besok,
bsok,besok,
bt,kesal,
bth,butuh,
btl,betul,
btw,omong-omong,
buatin,buatkan,
bucin,budak cinta,
buibu,ibu-ibu,
bukak,buka,
bukber,buka bersama,
bukittinggi,bukit tinggi,
bullshit,kotoran sapi,
bulutangkis,bulu tangkis,
bumil,ibu hamil,
buru2,buru-buru,
busui,ibu menyusui,
bw,bawa,
bwt,buat,
by,dengan,
byk,banyak,
cafe,kafe,
caffe,kafe,
cai,air,
cakes,kue,
called,dipanggil,
calls,telepon,
callwa,telepon whatsapp,
cantiq,cantik,
capeknya,capainya,
captionnya,keterangannya,
captured,tertangkap,
cariin,carikan,
cars,mobil-mobil,
catering,katering,
cawapres,calon wakil presiden,
cb,coba,
celebrating,merayakan,
cemilan,camilan,
centre,pusat,
ceo,direktur,
cepet,cepat,
ceritain,ceritakan,
ceunah,katanya,
cewe,perempuan,
ceweknya,perempuannya,
challenges,tantangan,
champions,juara,
changed,berubah,
changes,merubah,
changing,mengganti,
cheers,bersulang,
chinese,cina,
choices,pilihan-pilihan,
christ,kristian,
christian,kristen,
christmas,natal,
cieee,ciye,
cinemas,bioskop,
cita2,cita-cita,
ciwi,perempuan,
closing,penutupan,
clouds,awan-awan,
cm,cuma,
cma,cuman,
cmn,cuman,
cntik,cantik,
cobain,mencoba,
cobak,coba,
coffe,kopi,
coffeenatics,penyuka kopi,
collab,kolaborasi,
colours,warna,
coment,komentar,
cong,oi,
congrats,selamat,
congratulations,selamat,
copas,copy paste,
costum,kostum,
couldnt,tidak bisa,
countries,negara-negara,
cowo,cowok,
cp,capai,
cpk,capek,
cpt,cepat,
cr,cara,
created,dibuat,
creating,menciptakan,
cs,layanan pelanggan,
cuan,uang,
cucok,cocok,
curhat,curahan hati,
curug,air terjun,
cusss,maju,
customers,pelanggan,
cuz,karena,
cwe,perempuan,
cwek,perempuan,
cwo,laki-laki,
cwok,laki-laki,
cz,karena,
daan,dan,
dahh,sudah,
dann,dan,
dapet,dapat,
dapetin,mendapatkan,
dapoer,dapur,
darimana,dari mana,
daritadi,dari tadi,
dateng,datang,
dd,adik,
dearest,tercinta,
december,desember,
dech,sudah,
decor,dekorasi,
deg2an,berdebar-debar,
degdegan,deg-degan,
dehh,deh,
dejavu,deja vu,
deket,dekat,
deketin,mendekati,
del,hapus,
denger,dengar,
dengerin,mendengarkan,
dengernya,dengarnya,
depe,uang muka,
depends,bergantung,
depo,depot,
dept,departemen,
des,desember,
deserves,pantas,
details,detail,
deui,lagi,
devils,setan,
dewe,sendiri,
dewek,sendiri,
dg,dengan,
dgn,dengan,
dgr,dengar,
dh,sudah,
dhe,deh,
diaa,dia,
diacara,di acara,
diajakin,diajak,
diajarin,diajarkan,
diakhir,di akhir,
diantara,di antara,
diantaranya,di antaranya,
diapain,diapakan,
diaplikasi,di aplikasi,
diatas,di atas,
diawal,di awal,
dibales,dibalas,
dibawah,di bawah,
dibelakang,di belakang,
dibeliin,dibelikan,
dibidang,di bidang,
dibikin,dibuat,
dibilang,dikatakan,
dibilangin,dibilangi,
dibully,dirundung,
didalam,di dalam,
didalamnya,di dalamnya,
didepan,di depan,
didunia,di dunia,
dies,meninggal,
difoto,di foto,
difotoin,difoto,
diguyur,disiram,
dih,idih,
dihari,di hari,
dijadiin,dijadikan,
dijalan,di jalan,
dikala,di kala,
dikamar,di kamar,
dikampung,di kampung,
dikampus,di kampus,
dikantor,di kantor,
dikasih,diberi,
dikata,dikira,
dikerjain,dikerjakan,
dikirimin,dikirimkan,
dikit2,sedikit-sedikit,
diklat,pendidikan kilat,
dikosan,di kos,
dikota,di kota,
dilain,di lain,
dilakuin,dilakukan,
dilapangan,di lapangan,
diliat,dilihat,
