informal,formal,formal KBBI
loved,dicintai,
lovers,pasangan,
loves,mencintai,
lp,lupa,
lsg,langsung,
lt,lantai,
luarbiasa,luar biasa,
lupain,lupakan,
lur,teman-teman,
luruuss,lurus,
luv,cinta,
luwih,lebih,
lwat,lewat,
maacih,terima kasih,
maafin,maafkan,
maap,maaf,
maapin,maafkan,
maba,mahasiswa baru,
mabar,main bersama,
mabok,mabuk,
macem,macam,
maem,makan,
maen,main,
maenan,mainan,
maennya,mainnya,
mager,malas bergerak,
mahasiswai,mahasiswa,
mahluk,makhluk,
main2,main-main,
mainin,mainkan,
makan2,makan-makan,
makane,makanya,
makannya,oleh sebab itu,
makasar,makassar,
makasi,terima kasih,
makasih,terima kasih,
makasihh,terima kasih,
makasihhh,terima kasih,
makasii,terima kasih,
makes,membuat,
makeup,make up,
maksa,memaksa,
malam2,malam-malam,
malem,malam,
malem2,malam-malam,
males,malas,
malls,mal,
malming,malam minggu,
mamam,makan,
mampet,mampat,
mancing,memancing,
maneh,lagi,
mangat,semangat,
manggil,memanggil,
manjah,manja,
mans,laki-laki,
mantab,mantap,
mantapp,mantap,
mantau,memantau,
manteman,teman-teman,
mantep,mantap,
mantul,mantap sekali,
maqna,makna,
marah2,marah-marah,
marahin,memarahi,
masa2,masa-masa,
masalalu,masa lalu,
masang,memasang,
masi,masih,
masing2,masing-masing,
maskeran,memakai masker,
masok,masuk,
masukin,memasukan,
matahati,mata hati,
matiin,matikan,
matkul,mata kuliah,
matters,berpengaruh,
mauu,mau,
mauuu,mau,
mauuuu,mau,
max,maksimal,
mayan,lumayan,
mba,mbak,
mbaa,mbak,
mbaaa,mbak,
mbak2,mbak-mbak,
mbanya,mbaknya,
mbk,mbak,
mblo,jomlo,
mboh,tidak mau,
mboten,tidak,
mbuh,belum,
mcm,macam,
me,aku,
means,artinya,
medsos,sosial media,
mee,aku,
meets,menemui,
meetup,pertemuan,
megang,memegang,
mekdi,mcd,
melow,lembut,
melu,ikut,
meluk,memeluk,
members,anggota,
memories,kenangan,
meneh,tetap saja,
mengcape,lelah,
menghianati,mengkhianati,
mengkezel,kesal,
mengkonsumsi,mengonsumsi,
mengmarah,marah,
mengpede,percaya diri,
mengsedih,sedih,
mengseneng,senang,
menpar,kementrian pariwisata,
mensukseskan,menyukseskan,
mentri,menteri,
merci,terima kasih,
mergo,karena,
mesen,pesan,
metu,keluar,
mgkin,mungkin,
mgkn,mungkin,
mh,mah,
mhn,mohon,
micin,vestin,
midtown,tengah kota,
mikir,berpikir,
mikirin,memikirkan,
mikirnya,pikirnya,
miles,mil,
milih,memilih,
milyar,miliar,
mimin,admin,
mimpiin,memimpikan,
minjem,pinjam,
minutes,menit,
missed,luput,
mistakes,kesalahan,
mk,maka,
mkan,makan,
mkn,makan,
mksdnya,maksudnya,
mksh,terima kasih,
mksih,terima kasih,
ml,bercinta,
mlaku,berjalan,
mlati,melati,
mls,malas,
mm,hmm,
mmg,memang,
mmng,memang,
mn,mana,
mngkin,mungkin,
mnjadi,menjadi,
mnta,minta,
mo,mau,
mom,ibu,
moments,saat-saat,
moms,ibu-ibu,
monday,senin,
monggo,silakan,
monitoring,pengawasan,
monmaap,mohon maaf,
months,berbulan-bulan,
mosok,masa,
mothers,ibu-ibu,
motoin,memfotokan,
motong,memotong,
motret,memotret,
mountains,pegunungan,
movies,film-film,
mreka,mereka,
mrk,mereka,
mrs,ibu,
ms,yang benar,
msh,masih,
msi,masih,
msih,masih,
msk,masuk,
mslh,masalah,
msuk,masuk,
mt,mati,
muaro,muara,
mudah2an,mudah-mudahan,
muke,muka,
mukul,memukul,
mukulin,memukuli,
mulu,melulu,
muncak,memuncak,
muter,berputar,
mutualan,mutual,
mv,video musik,
mw,mau,
my,milikku,
mz,mas,
nabrak,menabrak,
nabung,menabung,
naek,naik,
nagih,menagih,
naha,kenapa,
nahan,menahan,
nahh,nah,
naikin,menaikkan,
naikturun,naik turun,
nails,kuku,
naksir,menaksir,
nambah,menambah,
nambahin,menambahkan,
nampol,pukul,
nanggung,tanggung,
nangis,menangis,
nanya,bertanya,
nanyain,menanyakan,
naon,apa,
nari,menari,
narik,menarik,
nasgor,nasi goreng,
nawarin,menawarkan,
nda,tidak,
ndak,tidak,
ndelok,melihat,
ndeso,kampungan,
ndk,tidak,
ndut,gendut,
ne,ini,
needed,dibutuhkan,
nego,negosiasi,
negri,negeri,
neh,ini,
nelpon,menelepon,
nemenin,menemani,
nemu,menemukan,
nemuin,menemukan,
nengok,menengok,
nerima,menerima,
ngabarin,mengabari,
ngabisin,menghabiskan,
ngabuburit,berkumpul,
ngaca,berkaca,
ngadain,mengadakan,
ngadem,mendinginkan,
ngadepin,menghadapi,
ngadu,mengadu,
ngajak,mengajak,
ngajakin,mengajak,
ngajar,mengajar,
ngajarin,mengajarkan,
ngaji,mengaji,
ngak,nggak,
ngakak,tertawa,
ngaku,mengaku,
ngakunya,mengakunya,
ngalah,mengalah,
ngalahin,mengalahkan,
ngalam,malang,
ngalamin,mengalami,
ngambek,marah,
ngambil,mengambil,
ngamen,mengamen,
ngampus,ke kampus,
ngamuk,mengamuk,
ngangenin,mengangeni,
nganggur,menganggur,
nganter,mengantar,
nganterin,mengantar,
nganti,mengantri,
ngantor,ke kantor,
ngantri,mengantri,
ngantuk,mengantuk,
nganu,meanu,
ngapa,mengapa,
ngapa2in,melakukan,
ngapain,sedang apa,
ngarep,berharap,
ngaruh,berpengaruh,
ngasi,memberi,
ngasih,memberi,
ngatain,mengatai,
ngatur,mengatur,
ngawur,asal-asalan,
ngebacot,banyak bicara,
ngebayangin,membayangkan,
ngebolang,berpetualang,
ngebuat,membuat,
ngechat,mengirim pesan,
ngedate,berkencan,
ngedit,mengedit,
ngefans,menggemari,
ngegas,mengegas,
ngeh,sadar,
ngejar,mengejar,
ngelakuin,melakukan,
ngelamar,melamar,
ngeles,mengelak,
ngeliat,melihat,
ngeliatin,melihat,
ngelihat,melihat,
ngeluarin,mengeluarkan,
ngeluh,mengeluh,
ngemil,menghabiskan meal,
ngene,begini,
ngentot,mengentot,
ngepost,memasang,
ngerasa,merasa,
ngerasain,merasakan,
ngerjain,mengerjakan,
ngerokok,merokok,
ngerti,mengerti,
ngeselin,mengesalkan,
ngeteh,mengeteh,
ngetik,mengetik,
ngetweet,membuat tweet,
ngetwit,menulis cuitan,
ngewe,bercumbu,
ngga,tidak,
nggak,tidak,
nggeh,iya,
nggih,iya,
nggk,tidak,
nggo,silahkan,
ngidam,mengidam,
ngikut,mengikuti,
ngikutin,mengikuti,
ngilang,menghilang,
ngilangin,menghilangkan,
ngiler,tergoda,
nginap,menginap,
nginep,menginap,
ngingetin,mengingatkan,
ngintip,mengintip,
ngirim,mengirim,
ngisi,mengisi,
ngitung,menghitung,
ngk,tidak,
ngmg,berbicara,
ngmng,mengobrol,
ngobrol,mengobrol,
ngobrolin,mengobrol,
ngoceh,berbicara,
ngombe,minum,
ngomel,memarah,
ngomong,bicara,
ngomongin,membicarakan,
ngomongnya,omongannya,
ngono,begitu,
ngopi,minum kopi,
ngotot,mengotot,
ngucapin,mengucapkan,
ngulang,mengulang,
ngumpul,berkumpul,
ngumpulin,mengumpulkan,
ngundang,mengundang,
ngunyah,mengunyah,
ngupi,minum kopi,
ngurus,mengurus,
ngurusin,mengurusi,
ngutang,berhutang,
nich,ini,
nie,ini,
nihh,ini,
nihhh,ini,
niih,ini,
niii,ini,
nikahan,pernikahan,
nikmatin,menikmati,
ninggalin,meninggalkan,
nipu,tipu,
nite,malam,
nitip,menitip,
njing,anjing,
njirr,anjing,
nmr,nomor,
nnt,nanti,
nnti,nanti,
nntn,nonton,
nnton,menonton,
no111,nol,
nobar,nonton bareng,
noh,itu,
nolak,menolak,
nongkrong,menongkrong,
nonton,menonton,
nontonin,menonton,
nontonnya,menontonnya,
noob,pemula,
nopember,november,
notif,notifikasi,
nov,november,
ntah,entah,
ntar,sebentar,
ntn,menonton,
ntr,sebentar,
nugas,menugas,
nuhun,iya,
nulis,menulis,
numpak,naik,
numpang,menumpang,
numpuk,menumpuk,
nunggu,menunggu,
nungguin,menunggu,
nunjukin,menunjukkan,
nurut,menurut,
nutup,menutup,
nuwun,terima kasih,
nyadar,tersadar,
nyakitin,menyakiti,
nyalahin,menyalahkan,
nyalain,menyalakan,
nyalakan,menyalakan,
nyambung,menyambung,
nyampah,menyampah,
nyampe,sampai,
nyanding,menyanding,
nyangka,menyangka,
nyangkut,menyangkut,
nyantai,bersantai,
nyanyiin,menyanyikan,
nyapa,menyapa,
nyari,mencari,
nyariin,mencarikan,
nyasar,tersesat,
nyebelin,menyebalkan,
nyebrang,menyebrang,
nyebut,menyebut,
nyemil,mengemil,
nyempil,menyempil,
nyender,menyandar,
nyenengin,menyenangkan,
nyerah,menyerah,
nyesal,menyesal,
nyesek,sesak,
nyesel,menyesal,
nyet,monyet,
nyetir,menyetir,
nyiapin,menyiapkan,
nyicil,menyicil,
nyimak,menyimak,
nyindir,menyindir,
nyo,ayo,
nyoba,mencoba,
nyobain,mencoba,
nyoblos,mencoblos,
nyokap,ibu,
nyuruh,menyuruh,
nyusahin,menyusahkan,
nyusul,menyusul,
oalah,walah,
oceans,laut,
oct,oktober,
october,oktober,
oey,oi,
of,dari,
offers,tawaran,
og,original,
oge,juga,
oiya,oh iya,
ojo,jangan,
ojol,ojek online,
ok,iya,
okay,oke,
okeh,oke,
okey,oke,
oleh2,oleh-oleh,
olshop,toko online,
omah,rumah,
omg,Ya Tuhan,
ongkir,ongkos kirim,
onlen,online,
ono,ada,
oom,om,
ootd,pakaian hari ini,
op,operator,
openbooking,buka pemesanan,
opened,terbuka,
opo,apa,
or,atau,
orang2,orang-orang,
orangtua,orang tua,
orderan,pesanan,
orderannya,pesanannya,
org,orang,
org2,orang-orang,
orgnya,orangnya,
ori,original,
ormas,organisasi massa,
orng,orang,
ortu,orang tua,
os,operating system,
otewe,dalam perjalanan,
others,lain-lain,
otw,dalam perjalanan,
oy,hai,
oya,iya,
paan,apa,
pabji,PUBG,
packing,berkemas,
padasuka,pada suka,
pagi2,pagi-pagi,
pagii,pagi,
pagiii,pagi,
pagiiii,pagi,
pahami,memahami,
paid,dibayar,
pait,pahit,
pake,memakai,
pakek,pakai,
paketan,paket,
pamutusan,pemutusan,
panas2,panas-panas,
pantengin,menunggui,
pantes,pantas,
pantesan,pantas saja,
parents,orang tua,
parfume,parfum,
parpol,partai politik,
parts,bagian,
pasih,apa sih,
paslon,pasangan calon,
passed,terlewat,
pb,point blank,
pc,komputer,
pcs,satuan,
pcx,pak,
pd,pada,
pda,pada,
pdahal,padahal,
pdhal,padahal,
pdhl,padahal,
pdt,padat,
pede,percaya diri,
pegel,pegal,
pegi,pergi,
pelakor,perebut lelaki orang,
pemko,pemerintah kota,
pemprov,pemerintah provinsi,
pendikar,pendekar,
pengen,ingin,
pengennya,ingin-nya,
peoples,orang-orang,
peptalk,kata motivasi,
perhatiin,perhatikan,
perna,pernah,
pesen,pesan,
pesenan,pesanan,
petrus,pepet terus,
pg,pagi,
pgi,pagi,
pgn,ingin,
photos,foto-foto,
php,pemberi harapan palsu,
pics,gambar,
pictures,foto,
pikirin,pikirkan,
pileg,pilek,
pilpres,pemilihan presiden,
pingin,ingin,
pinjem,pinjam,
pinter,pintar,
piro,berapa,
pisan,juga,
piye,bagaimana,
pjg,panjang,
pk,pakai,
pke,pakai,
pkl,pukul,
pku,pusat kesehatan umum,
places,tempat-tempat,
planning,rencana,
plans,rencana-rencana,
played,dimainkan,
players,pemain,
playing,bermain,
plg,pulang,
plis,please,
pliss,tolong,
plisss,tolong,
plng,pulang,
pls,mohon,
plt,pelaksana tugas,
pltu,pembangkit listrik tenaga uap,
pms,sindrom pra menstruasi,
png,pingin,
pngen,ingin,
pnting,penting,
pny,punya,
pnya,punya,
points,poin-poin,
pokoke,pokoknya,
pokonya,pokoknya,
polbek,follow back,
polwan,polisi wanita,
ponpes,pondok pesantren,
ponsel,telepon selular,
postingan,post,
poto,foto,
pp,pulang-pergi,
ppsu,penanganan sarana dan prasarana umum,
pr,pekerjaan rumah,
prancis,Perancis,
prayers,doa,
preparing,menyiapkan,
presented,ditampilkan,
presents,hadiah,
prewed,pra-nikah,
prewedding,pranikah,
pricelist,daftar harga,
prnah,pernah,
prnh,pernah,
problems,masalah,
products,produk,
profdr,prof dr,
proud,bangga,
prov,provinsi,
psti,pasti,
puede,percaya diri,
pulak,pula,
pulkam,pulang kampung,
pulo,pulau,
punten,permisi,
pura2,pura-pura,
putera,putra,
qaqa,kakak,
qm,kamu,
qt,kita,
qta,kita,
qu,ku,
quando,kapan,
que,kue,
questions,pertanyaan-pertanyaan,
quotes,kutipan,
rabb,allah,
rafting,arung jeram,
rakor,rapat koordinasi,
rame2,ramai-ramai,
rangorang,orang-orang,
rapih,rapi,
rapopo,tidak apa-apa,
rasah,rasa,
rasain,merasakan,
rasane,rasanya,
rata2,rata-rata,
realized,tersadar,
reasons,alasan,
recomended,direkomendasikan,
recommended,disarankan,
records,catatan,
rejekinya,rezekinya,
rekan2,rekan-rekan,
relaxing,relaksasi,
released,dikeluarkan,
req,permintaan,
residences,tempat tinggal,
resleting,ritsleting,
resorts,resor,
resto,restoran,
results,hasil-hasil,
ribet,rumit,
ribs,tulang rusuk,
rights,hak-hak,
ringroad,jalan lingkar,
rm,rumah makan,
rmh,rumah,
rmv,menghilangkan,
roads,jalan,
roasted,panggang,
robb,tuhan,
rockstar,bintang rock,
roemah,rumah,
rooftop,atap,
rooms,ruangan,
roots,akar,
roso,rasa,
rp,rupiah,
rs,rumah sakit,
rsi,rumah sakit islam,
rsia,rahasia,
rsj,rumah sakit jiwa,
ruko,rumah toko,
rules,peraturan,
rumoh,rumah,
runners,pelari,
saay,sayang,
sadari,menyadari,
saha,siapa,
sahabat2,sahabat-sahabat,
saia,saya,
saiki,sekarang,
salahin,salahkan,
salalu,salahmu,
salfok,salah fokus,
sallam,salam,
sama2,sama-sama,
samaa,sama,
samaaa,sama,
samaan,sama,
samasama,sama-sama,
sambel,sambal,
samo,hanya,
sampe,sampai,
samperin,menyamperi,
sampun,sudah,
samsek,sama sekali,
sange,bergairah,
santuy,santai,
saos,saus,
sape,siapa,
sareng,bersama,
satay,sate,
satgas,satuan tugas,
satker,satuan kerja,
satnight,malam minggu,
satnite,sabtu malam,
satpol,satuan polisi,
satu2,satu-satu,
satu2nya,satu-satunya,
saturday,sabtu,
saudara2,saudara-saudara,
says,mengatakan,
sbb,maaf baru balas,
sbg,sebagai,
sblm,sebelum,
sbnrnya,sebenarnya,
sby,surabaya,
scared,ditakuti,
sd,sekolah dasar,
sdah,sudah,
sdg,sedang,
sdh,sudah,
sdr,saudara,
se,sih,
seafood,hidangan laut,
seasons,musim-musim,
sebelom,sebelum,
sebenernya,sebenarnya,
sebrang,seberang,
seconds,detik,
sedi,sedih,
sedikitpun,sedikit pun,
sedulur,sekeluarga,
seems,sepertinya,
segampang,semudah,
segede,sebesar,
seger,segar,
segini,sebegini,
segitu,sebegitu,
sehat2,sehat-sehat,
sekali2,sekali-sekali,
sekotong,sepotong,
selebgram,selebriti instagram,
selow,lambat,
semalem,semalam,
semangatt,semangat,
semangattt,semangat,
sempet,sempat,
sempre,pernah,
semuaa,semua,
semuaaa,semua,
seneng,senang,
senengnya,senangnya,
sensi,sensitif,
senyum2,senyum-senyum,
senyumin,memberi senyum,
serem,seram,
serie,seri,
sering2,sering-sering,
seringkali,sering kali,
seriusan,serius,
seruuu,seru,
served,disajikan,
services,layanan,
sesok,esok,
sesuk,besok,
sg,Singapura,
sgala,segala,
sgt,sangat,
shades,corak,
shalat,salat,
shared,dibagi,
sharing,berbagi,
shes,dia,
shit,tahi,
shoes,sepatu,
sholat,salat,
sholeh,saleh,
shopz,toko-toko,
shows,menunjukkan,
shubuh,subuh,
sia2,sia-sia,
siang2,siang-siang,
siap2,siap-siap,
siapapun,siapa pun,
siapin,menyiapkan,
siapo,siapa,
siapp,siap,
siblings,saudara,
sich,sih,
sihh,sih,
siii,sih,
sik,sebentar,
silaturrahmi,silaturahmi,
simpen,simpan,
sintesa,sintesis,
sisters,saudara perempuan,
sj,saja,
sja,saja,
sk,suka,
ska,suka,
skali,sekali,
skalian,sekalian,
skarang,sekarang,
skg,sekarang,
skills,keterampilan,
skli,sekali,
skolah,sekolah,
skr,sekarang,
skrang,sekarang,
skrg,sekarang,
skrng,sekarang,
skuad,geng,
skuy,ayo,
skyline,kaki langit,
slalu,selalu,
slamat,selamat,
slamet,selamat,
slh,salah,
sll,selalu,
sllu,selalu,
slmt,selamat,
sm,sama,
smangat,semangat,
smbil,sambil,
smg,semoga,
smga,semoga,
smiles,senyuman,
smlm,semalam,
smo,sampai,
smoga,semoga,
smp,sampai,
smpai,sampai,
smpe,sampai,
smua,semua,
smuanya,semuanya,
snapchat,Snapchat,
sndiri,sendiri,
sndri,sendiri,
sni,sini,
snorkling,snorkeling,
so,jadi,
soale,soalnya,
soalnya,karena,
sodara,saudara,
soleh,saleh,
somay,siomay,
someones,seseorang,
songo,sembilan,
songs,lagu-lagu,
sooo,jadi,
sopo,siapa,
sosmed,sosial media,
soulmate,belahan jiwa,
souls,jiwa,
sounds,suara,
spam,pesan sampah,
spd,sarjana pendidikan,
sperti,seperti,
spn,surat pembendaharaan negara,
sprei,seprai,
sprti,seperti,
spt,seperti,
sr,senior,
srimping,murung,
st,stasiun,
stairs,tangga,
standards,standar,
standart,standar,
stars,bintang-bintang,
started,dimulai,
starts,mulai,
staying,tinggal,
stelah,setelah,
steps,langkah,
stiap,setiap,
stlh,setelah,
stories,cerita,
stronger,lebih kuat,
students,murid-murid,
styles,gaya,
su,anjing,
sucks,payah,
suites,suite,
suka2,suka-suka,
sukak,suka,
sulteng,sulawesi tenggara,
sulthan,sultan,
sultra,sulawesi tenggara,
sumsel,sumatera selatan,
sumut,sumatera utara,
sunday,minggu,
sundays,Minggu,
sunsets,matahari terbenam,
suport,dukungan,
supported,didukung,
surfing,berselancar,
suroboyo,surabaya,
surprised,terkejut,
suru,suruh,
sutera,sutra,
suwun,terima kasih,
sy,saya,
sya,saya,
syang,sayang,
syantik,cantik,
syech,syekh,
syg,sayang,
t4,tempat,
taik,tahi,
takan,tak akan,
takes,mengambil,
takkan,tak akan,
talks,pembicaraan,
tambahin,menambahkan,
tampol,pukul,
tanggungjawab,tanggung jawab,
tanya2,tanya-tanya,
tanyain,tanyakan,
taon,tahun,
taqwa,takwa,
tau2,tahu-tahu,
taunya,tahu-tahu,
tauu,tahu,
tb,tiba,
tbh,sejujurnya,
tbtb,tiba-tiba,
td,tadi,
tdak,tidak,
tdi,tadi,
tdk,tidak,
tdr,tidur,
tdur,tidur,
teachers,guru-guru,
teams,tim,
tears,air mata,
tebel,tebal,
telfon,telepon,
teling,memberitahu,
tells,memberi tahu,
telp,telepon,
telponan,menelpon,
teman2,teman-teman,
temani,menemani,
temans,teman,
temen,teman,
temen2,teman-teman,
temenan,berteman,
temenin,menemani,
temenku,temanku,
temennya,teman-nya,
temples,kuil,
tenan,betul,
tengkyu,terima kasih,
tentrem,tentram,
tepar,terkapar,
terimakasi,terima kasih,
terimakasih,terima kasih,
teros,terus,
terosss,terus,
terraces,teras,
terupdate,terbaru,
teruss,terus,
terusss,terus,
testi,kesaksian,
tetep,tetap,
tetiba,tiba-tiba,
teuing,tidak tahu,
tf,tensorflow,
tgl,tanggal,
thailand,thai,
thankyou,terima kasih,
theatre,teater,
things,situasi,
thn,tahun,
thoughts,pikiran,
thousands,ribuan,
thru,melalui,
thursday,kamis,
thx,terima kasih,
tiati,hati-hati,
tiba2,tiba-tiba,
tickets,tiket,
tida,tidak,
tidor,tidur,
tinggalin,tinggalkan,
tipis2,tipis-tipis,
tjilik,kecil,
tkg,tukang,
tkp,tempat kejadian perkara,
tks,terima kasih,
tl,timeline,
tlah,telah,
tlg,tolong,
tlp,telepon,
tmn,teman,
tmn2,teman-teman,
tmpat,tempat,
tmpt,tempat,
tnggu,tunggu,
tnpa,tanpa,
todays,hari ini,
todo,Akan dikerjakan,
todos,yang harus dilakukan,
tools,alat,
tosca,toska,
tours,tour,
toys,mainan,
tp,tetapi,
tpi,tetapi,
tpu,tempat pemakaman umum,
tq,terima kasih,
tracking,mengikuti,
travelling,perjalanan,
trees,pepohonan,
tresno,cinta,
trima,terima,
trimakasih,terima kasih,
trims,terima kasih,
trlalu,terlalu,
trnyata,ternyata,
trs,terus,
trus,terus,
tsb,tersebut,
tshirt,kaos,
tt,payudara,
ttd,tertanda,
ttep,tetap,
ttg,tentang,
ttp,tetap,
tu,itu,
tuch,itu,
tuesday,selasa,
tuh,itu,
tuhh,itu,
tuiter,twitter,
tul,betul,
tumpa,tumpah,
tungguin,menunggu,
tunjukan,tunjukkan,
tuo,tua,
turu,tidur,
tuu,itu,
tw,tahu,
twins,kembar,
twiter,Twitter,
twt,tweet,
tyda,tidak,
ucapin,ucapkan,
ud,sudah,
udah,sudah,
udahan,sudah,
udahh,udah,
udahlah,sudahlah,
udeh,sudah,
udh,sudah,
uga,juga,
ughtea,ukhti,
ujan,hujan,
ujung2nya,ujung-ujungnya,
ukhti,saudara perempuan,
ukhty,ukhti,
ulakkarang,ulak karang,
ultah,ultang tahun,
ummah,umat,
umrik,umurnya,
unboxing,Membuka kotak,
unch,gemas,
und,dan,
unfaedah,tidak berfaedah,
unfoll,unfollow,
untk,untuk,
unyu,lucu,
ur,milikmu,
urusin,urusi,
us,kita,
usa,usah,
using,memakai,
ustadz,ustaz,
ustadzabdulsomad,ustaz abdul somad,
utk,untuk,
uuu,huhuhu,
uwu,lucu,
valentines,velentine,
velg,pelek,
ver,versi,
vibe,suasana,
vibes,suasana,
vid,video,
videos,video,
views,pandangan,
villas,vila-vila,
visited,berkunjung,
vs,melawan,
waaah,wah,
waah,wah,
waena,wah enak,
wagub,wakil gubernur,
wahab,wahabi,
wahaha,hahaha,
wahh,wah,
walaa,walah,
walhamdulillah,alhamdulilah,
walks,berjalan,
walo,walau,
walopun,walaupun,
wani,berani,
wanna,mau,
wanted,diinginkan,
wants,mau,
warkop,warung kopi,
waroeng,warung,
waroenk,warung,
warong,warung,
wars,perang,
warteg,Warung Tegal,
warunk,warung,
wasallam,waalaikumsalam,
wasap,Whatsapp,
waterfalls,air terjun,
waters,air,
waves,ombak,
wednesday,rabu,
wedok,perempuan,
weeks,berminggu-minggu,
wellcome,selamat datang,
wes,sudah,
wetan,timur,
wheels,roda,
whos,siapa,
wiken,akhir pekan,
wilujeng,selamat,
wishes,doa,
wk,hahaha,
wkkw,hahaha,
wkkwkw,hahaha,
wkt,waktu,
wktu,waktu,
wkw,hahaha,
wkwk,hahaha,
wkwkk,hahaha,
wkwkkw,hahaha,
wkwkkwkw,hahahaha,
wkwkw,hahaha,
wkwkwk,hahaha,
wkwkwkk,hahaha,
wkwkwkkw,hahaha,
wkwkwkw,hahaha,
wkwkwkwk,hahaha,
wkwkwkwkw,hahaha,
wkwkwkwkwk,hahaha,
wkwwk,hahaha,
wo,woy,
woii,woi,
woiii,woi,
women,perempuan,
womens,perempuan-perempuan,
words,kata-kata,
worlds,dunia,
woyy,oi,
wqwq,hahaha,
wqwqwq,hahaha,
wrna,warna,
wrwb,warahmatullahi wabarakatuh,
xixixi,hahaha,
xo,mengirim ciuman,
xtra,ekstra,
yaa,ya,
yaaa,ya,
yaaaa,ya,
yaaaaa,iya,
yaaah,yah,
yaah,yah,
yaak,iya,
yaallah,ya allah,
yaampun,ya ampun,
yach,yah,
yaelah,iya,
yahhh,yah,
yakali,masa iya,
yakan,iyakan,
yakk,iya,
yall,kalian semua,
yallah,ya Allah,
yasinan,membaca yasin,
yasudah,ya sudah,
yauda,iya sudah,
yaudah,ya sudah,
yaudahlah,ya sudahlah,
yay,hore,
years,bertahun-tahun,
yeay,hore,
yeee,iya,
yeh,ya,
yekan,yakan,
yess,iya,
yesss,iya,
yey,hore,
yg,yang,
yh,iya,
yha,iya,
yk,ayo,
yng,yang,
yo,ya,
yokk,ayo,
yoo,ayo,
yooo,hai,
youll,kamu akan,
youre,kamu,
youu,kamu,
yowes,ya sudah,
yt,youtube,
yth,yang terhormat,
yuhuuu,yuhu,
yukk,ayo,
yukkk,ayo,
yuks,ayo,
yup,iya,
yutub,youtube,
yuu,ayo,
yuuk,ayo,
yuukk,yuk,
yuuu,ayo,
yuuuk,ayo,
zonk,kosong,
abis,habis,
ad,ada,
adlh,adalah,
afaik,as far as i know,
ahaha,haha,
aj,saja,
ajep-ajep,dunia gemerlap,
ak,saya,
akika,aku,
akkoh,aku,
akuwh,aku,
alay,norak,
alow,halo,
ambilin,ambilkan,
ancur,hancur,
anjrit,anjing,
anter,antar,
ap2,apa-apa,
apasih,apa sih,
apes,sial,
aps,apa,
aq,saya,
aquwh,aku,
asbun,asal bunyi,
aseekk,asyik,
asekk,asyik,
asem,asam,
aspal,asli tetapi palsu,
astul,asal tulis,
ato,atau,
au ah,tidak mau tahu,
awak,saya,
ay,sayang,
ayank,sayang,
b4,sebelum,
bakalan,akan,
bandes,bantuan desa,
bangedh,sangat,
banpol,bantuan polisi,
banpur,bantuan tempur,
basbang,basi,
bcanda,bercanda,
bdg,bandung,
begajulan,nakal,
beliin,belikan,
bencong,banci,
bentar,sebentar,
ber3,bertiga,
beresin,membereskan,
bete,kesal,
beud,sangat,
bg,abang,
bgmn,bagaimana,
bgt,sekali,
bijimane,bagaimana,
bintal,bimbingan mental,
bkl,akan,
bknnya,bukannya,
blegug,bodoh,
blh,boleh,
bln,bulan,
blum,belum,
bnci,benci,
bnran,yang benar,
bodor,lucu,
bokap,ayah,
boker,buang air besar,
bokis,bohong,
boljug,boleh juga,
bonek,bocah nekat,
boyeh,boleh,
br,baru,
brg,bareng,
bro,saudara laki-laki,
bru,baru,
bs,bisa,
bsen,bosan,
bt,buat,
btw,ngomong-ngomong,
buaya,tidak setia,
bubbu,tidur,
bubu,tidur,
bumil,ibu hamil,
bw,bawa,
bwt,buat,
byk,banyak,
byrin,bayarkan,
cabal,sabar,
cadas,keren,
calo,makelar,
can,belum,
capcus,pergi,
caper,cari perhatian,
ce,cewek,
cekal,cegah tangkal,
cemen,penakut,
cengengesan,tertawa,
cepet,cepat,
cew,cewek,
chuyunk,sayang,
cimeng,ganja,
cipika cipiki,cium pipi kanan cium pipi kiri,
ciyh,sih,
ckepp,cakep,
ckp,cakep,
cmiiw,correct me if i'm wrong,
cmpur,campur,
cong,banci,
conlok,cinta lokasi,
cowwyy,maaf,
cp,siapa,
cpe,capek,
cppe,capek,
cucok,cocok,
cuex,cuek,
cumi,Cuma miscall,
cups,culun,
curanmor,pencurian kendaraan bermotor,
curcol,curahan hati colongan,
cwek,cewek,
cyin,cinta,
d,di,
dah,deh,
dapet,dapat,
dek,adik,
demen,suka,
deyh,deh,
dgn,dengan,
diancurin,dihancurkan,
dimaafin,dimaafkan,
dimintak,diminta,
disono,di sana,
dket,dekat,
dkk,dan kawan-kawan,
dll,dan lain-lain,
dlu,dulu,
dngn,dengan,
dodol,bodoh,
doku,uang,
dongs,dong,
dpt,dapat,
dri,dari,
drmn,darimana,
drtd,dari tadi,
dst,dan seterusnya,
dtg,datang,
duh,aduh,
duren,durian,
ed,edisi,
egp,emang gue pikirin,
eke,aku,
elu,kamu,
emangnya,memangnya,
emng,memang,
endak,tidak,
enggak,tidak,
envy,iri,
ex,mantan,
fax,facsimile,
fifo,first in first out,
folbek,follow back,
fyi,sebagai informasi,
gaada,tidak ada uang,
gag,tidak,
gaje,tidak jelas,
gak papa,tidak apa-apa,
gan,juragan,
gaptek,gagap teknologi,
gatek,gagap teknologi,
gawe,kerja,
gbs,tidak bisa,
gebetan,orang yang disuka,
geje,tidak jelas,
